,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
5003802,2008,9,7,7,1327.0,1331,1403.0,1412,OO,5786,N560SW,36.0,41.0,28.0,-9.0,-4.0,PDX,EUG,106,3.0,5.0,0,,0,,,,,
6013285,2008,11,25,2,1038.0,1040,1131.0,1140,WN,24,N900WN,53.0,60.0,44.0,-9.0,-2.0,HRL,HOU,276,3.0,6.0,0,,0,,,,,
718317,2008,2,25,1,1445.0,1450,1543.0,1600,XE,2642,N22971,58.0,70.0,44.0,-17.0,-5.0,ROC,CLE,245,6.0,8.0,0,,0,,,,,
697334,2008,2,25,1,924.0,920,1040.0,1044,XE,301,N13553,136.0,144.0,117.0,-4.0,4.0,TUS,SMF,752,5.0,14.0,0,,0,,,,,
3767578,2008,7,22,2,1945.0,1945,2107.0,2112,OH,5577,N655CA,82.0,87.0,60.0,-5.0,0.0,CVG,RIC,413,3.0,19.0,0,,0,,,,,
1253894,2008,3,26,3,832.0,835,959.0,1000,WN,2124,N493WN,87.0,85.0,75.0,-1.0,-3.0,PHX,BUR,369,3.0,9.0,0,,0,,,,,
464474,2008,1,4,5,943.0,855,1114.0,1035,9E,4777,80279E,151.0,160.0,131.0,39.0,48.0,MSP,BZN,874,4.0,16.0,0,,0,0.0,0.0,0.0,0.0,39.0
6790508,2008,12,2,2,1110.0,1058,1312.0,1312,FL,988,N937AT,122.0,134.0,108.0,0.0,12.0,RSW,BWI,919,6.0,8.0,0,,0,,,,,
6875701,2008,12,25,4,1414.0,1400,1657.0,1655,9E,2205,88559E,103.0,115.0,84.0,2.0,14.0,MEM,PIT,652,5.0,14.0,0,,0,,,,,
4610170,2008,8,26,2,1814.0,1729,1907.0,1844,FL,327,N273AT,113.0,135.0,97.0,23.0,45.0,LGA,MKE,738,3.0,13.0,0,,0,0.0,0.0,0.0,0.0,23.0
5650711,2008,10,28,2,554.0,600,634.0,652,US,86,N322AW,100.0,112.0,83.0,-18.0,-6.0,DEN,PHX,602,2.0,15.0,0,,0,,,,,
2599268,2008,5,28,3,2122.0,2129,2209.0,2207,OO,3915,N430SW,107.0,98.0,85.0,2.0,-7.0,SLC,PSP,541,5.0,17.0,0,,0,,,,,
4948412,2008,9,11,4,1727.0,1715,2136.0,2110,XE,2508,N14105,189.0,175.0,163.0,26.0,12.0,IAH,PIT,1117,10.0,16.0,0,,0,12.0,0.0,14.0,0.0,0.0
6714071,2008,12,18,4,2207.0,2209,2345.0,2350,US,1074,N740UW,158.0,161.0,142.0,-5.0,-2.0,CLT,MSP,930,2.0,14.0,0,,0,,,,,
2857744,2008,5,12,1,826.0,830,1105.0,1115,9E,5728,89219E,99.0,105.0,77.0,-10.0,-4.0,MEM,CMH,518,5.0,17.0,0,,0,,,,,
4398180,2008,8,20,3,1205.0,1215,1455.0,1457,OH,5709,N966CA,170.0,162.0,123.0,-2.0,-10.0,LGA,JAX,834,5.0,42.0,0,,0,,,,,
4232754,2008,8,2,6,2150.0,2125,32.0,25,WN,581,N751SW,102.0,120.0,92.0,7.0,25.0,STL,BWI,737,3.0,7.0,0,,0,,,,,
4735111,2008,8,12,2,1546.0,1505,1736.0,1710,AA,1121,N513AA,170.0,185.0,147.0,26.0,41.0,FLL,DFW,1119,4.0,19.0,0,,0,0.0,0.0,0.0,0.0,26.0
4692208,2008,8,9,6,1511.0,1445,1656.0,1640,9E,2044,91819E,105.0,115.0,79.0,16.0,26.0,BWI,ATL,576,5.0,21.0,0,,0,16.0,0.0,0.0,0.0,0.0
3101736,2008,6,30,1,1951.0,1905,2126.0,2037,XE,2800,N29515,95.0,92.0,63.0,49.0,46.0,IAH,XNA,438,6.0,26.0,0,,0,12.0,0.0,3.0,0.0,34.0
2475802,2008,5,29,4,2141.0,2145,2258.0,2310,WN,2004,N901WN,77.0,85.0,66.0,-12.0,-4.0,MHT,BWI,377,3.0,8.0,0,,0,,,,,
691096,2008,2,28,4,1512.0,1510,1618.0,1620,WN,1315,N741SA,66.0,70.0,54.0,-2.0,2.0,SMF,BUR,358,2.0,10.0,0,,0,,,,,
4751152,2008,8,27,3,1751.0,1735,2125.0,2115,AA,1706,N486AA,154.0,160.0,133.0,10.0,16.0,DFW,MCO,984,5.0,16.0,0,,0,,,,,
1195304,2008,3,9,7,1940.0,1940,2256.0,2305,WN,724,N512SW,136.0,145.0,120.0,-9.0,0.0,DEN,HOU,883,6.0,10.0,0,,0,,,,,
1905902,2008,4,11,5,2057.0,1830,2257.0,2042,XE,2988,N11536,120.0,132.0,93.0,135.0,147.0,CAE,EWR,602,10.0,17.0,0,,0,0.0,0.0,135.0,0.0,0.0
3963559,2008,7,12,6,1023.0,1030,1358.0,1404,F9,232,N924FR,155.0,154.0,130.0,-6.0,-7.0,DEN,BNA,1013,8.0,17.0,0,,0,,,,,
5917118,2008,10,10,5,1744.0,1740,1930.0,1918,CO,1511,N24736,226.0,218.0,195.0,12.0,4.0,IAH,SNA,1347,12.0,19.0,0,,0,,,,,
1236901,2008,3,21,5,1205.0,1205,1535.0,1535,WN,2718,N235WN,150.0,150.0,127.0,0.0,0.0,MDW,MCO,989,11.0,12.0,0,,0,,,,,
1512304,2008,3,11,2,2313.0,2030,21.0,2143,EV,4513,N839AS,68.0,73.0,46.0,158.0,163.0,ATL,FAY,331,5.0,17.0,0,,0,158.0,0.0,0.0,0.0,0.0
1311856,2008,3,6,4,1025.0,1030,1100.0,1102,YV,1003,N693BR,35.0,32.0,21.0,-2.0,-5.0,OGG,HNL,100,4.0,10.0,0,,0,,,,,
3221675,2008,6,21,6,2241.0,2215,611.0,610,UA,238,N423UA,270.0,295.0,251.0,1.0,26.0,SAN,IAD,2253,6.0,13.0,0,,0,,,,,
4939737,2008,9,4,4,1530.0,1535,1654.0,1705,XE,2574,N21144,84.0,90.0,63.0,-11.0,-5.0,IAH,XNA,438,7.0,14.0,0,,0,,,,,
2876043,2008,5,9,5,1237.0,1220,1408.0,1355,AA,520,N640AA,91.0,95.0,70.0,13.0,17.0,DFW,STL,551,5.0,16.0,0,,0,,,,,
42684,2008,1,16,3,1800.0,1800,1853.0,1855,WN,48,N271WN,53.0,55.0,40.0,-2.0,0.0,HOU,DAL,239,3.0,10.0,0,,0,,,,,
5647243,2008,10,25,6,657.0,600,740.0,652,US,86,N302AW,103.0,112.0,82.0,48.0,57.0,DEN,PHX,602,10.0,11.0,0,,0,48.0,0.0,0.0,0.0,0.0
2310832,2008,4,25,5,937.0,940,1146.0,1200,AA,2370,N442AA,129.0,140.0,103.0,-14.0,-3.0,ATL,LGA,761,8.0,18.0,0,,0,,,,,
6381314,2008,11,23,7,1241.0,1245,1419.0,1425,AA,1377,N481AA,158.0,160.0,145.0,-6.0,-4.0,RSW,STL,979,5.0,8.0,0,,0,,,,,
610906,2008,2,4,1,739.0,730,839.0,835,WN,1148,N752SW,60.0,65.0,50.0,4.0,9.0,LBB,AUS,341,3.0,7.0,0,,0,,,,,
2433724,2008,5,16,5,624.0,615,723.0,720,WN,2286,N275WN,59.0,65.0,38.0,3.0,9.0,ONT,LAS,197,6.0,15.0,0,,0,,,,,
3321633,2008,6,9,1,956.0,1000,1203.0,1212,EV,4370,N722EV,127.0,132.0,98.0,-9.0,-4.0,ATL,SYR,793,4.0,25.0,0,,0,,,,,
1491266,2008,3,24,1,1358.0,1400,2041.0,2055,DL,724,N121DE,223.0,235.0,205.0,-14.0,-2.0,LAS,ATL,1747,7.0,11.0,0,,0,,,,,
5109449,2008,9,1,1,1042.0,1045,1344.0,1400,WN,1760,N315SW,122.0,135.0,108.0,-16.0,-3.0,LAX,DEN,862,7.0,7.0,0,,0,,,,,
5184761,2008,9,2,2,810.0,815,928.0,929,MQ,3011,N253AE,78.0,74.0,52.0,-1.0,-5.0,LAX,FAT,209,5.0,21.0,0,,0,,,,,
725094,2008,2,16,6,2006.0,1910,218.0,2247,XE,2114,N18114,312.0,157.0,118.0,211.0,56.0,IAH,GRR,1042,7.0,187.0,0,,0,0.0,56.0,155.0,0.0,0.0
6110338,2008,11,23,7,1701.0,1644,1817.0,1755,OO,5810,N916SW,76.0,71.0,47.0,22.0,17.0,RAP,DEN,301,13.0,16.0,0,,0,0.0,0.0,22.0,0.0,0.0
5400000,2008,10,7,2,1240.0,1240,1835.0,1835,WN,1477,N386SW,235.0,235.0,217.0,0.0,0.0,SMF,MDW,1790,4.0,14.0,0,,0,,,,,
3054528,2008,6,20,5,1336.0,1330,1455.0,1450,WN,14,N508SW,79.0,80.0,68.0,5.0,6.0,LAS,SJC,386,2.0,9.0,0,,0,,,,,
4885070,2008,9,15,1,2103.0,2105,2131.0,2210,WN,349,N370SW,148.0,185.0,138.0,-39.0,-2.0,MCI,LAS,1140,3.0,7.0,0,,0,,,,,
1824105,2008,4,13,7,1247.0,1230,1401.0,1345,WN,707,N308SA,74.0,75.0,57.0,16.0,17.0,LAX,PHX,370,4.0,13.0,0,,0,16.0,0.0,0.0,0.0,0.0
4985934,2008,9,15,1,1830.0,1745,2048.0,1957,OH,6473,N642CA,138.0,132.0,92.0,51.0,45.0,EWR,CVG,569,4.0,42.0,0,,0,0.0,45.0,6.0,0.0,0.0
4248513,2008,8,7,4,1300.0,1305,1429.0,1450,WN,3315,N283WN,209.0,225.0,196.0,-21.0,-5.0,MDW,LAS,1521,5.0,8.0,0,,0,,,,,
6328300,2008,11,12,3,904.0,910,1023.0,1038,NW,843,N502US,79.0,88.0,57.0,-15.0,-6.0,MKE,MSP,297,4.0,18.0,0,,0,,,,,
6925766,2008,12,24,3,813.0,630,935.0,750,AA,1477,N4WVAA,82.0,80.0,60.0,105.0,103.0,ICT,DFW,328,9.0,13.0,0,,0,0.0,103.0,2.0,0.0,0.0
4161543,2008,7,26,6,1325.0,1326,1410.0,1407,AS,152,N764AS,45.0,41.0,34.0,3.0,-1.0,OME,OTZ,183,4.0,7.0,0,,0,,,,,
6294644,2008,11,20,4,1331.0,1335,1513.0,1525,MQ,3861,N632MQ,102.0,110.0,79.0,-12.0,-4.0,DFW,VPS,626,7.0,16.0,0,,0,,,,,
6788506,2008,12,29,1,2055.0,2025,8.0,2345,F9,798,N910FR,133.0,140.0,114.0,23.0,30.0,PDX,DEN,992,9.0,10.0,0,,0,6.0,0.0,7.0,0.0,10.0
1182478,2008,3,5,3,2101.0,2105,2155.0,2205,WN,103,N741SA,114.0,120.0,103.0,-10.0,-4.0,HOU,ELP,677,4.0,7.0,0,,0,,,,,
3504100,2008,6,25,3,1217.0,1220,1439.0,1445,AA,1460,N3CHAA,142.0,145.0,126.0,-6.0,-3.0,MIA,DCA,920,6.0,10.0,0,,0,,,,,
1939156,2008,4,29,2,2035.0,2036,2110.0,2108,YV,1908,N646BR,35.0,32.0,22.0,2.0,-1.0,OGG,HNL,100,4.0,9.0,0,,0,,,,,
6243293,2008,11,26,3,1508.0,1515,1644.0,1710,EV,5546,N904EV,96.0,115.0,79.0,-26.0,-7.0,CVG,JAX,614,3.0,14.0,0,,0,,,,,
4837299,2008,8,11,1,2141.0,2140,2234.0,2221,DL,965,N903DE,113.0,101.0,78.0,13.0,1.0,ATL,STL,483,8.0,27.0,0,,0,,,,,
3745892,2008,7,11,5,845.0,855,1140.0,1150,YV,2894,N987HA,115.0,115.0,76.0,-10.0,-10.0,PHX,DRO,351,12.0,27.0,0,,0,,,,,
5538587,2008,10,21,2,1648.0,1658,1718.0,1735,OO,2626,N494CA,30.0,37.0,21.0,-17.0,-10.0,MSN,MKE,74,4.0,5.0,0,,0,,,,,
486986,2008,1,4,5,620.0,625,942.0,925,AA,536,N3CLAA,142.0,120.0,92.0,17.0,-5.0,DFW,ATL,732,9.0,41.0,0,,0,0.0,0.0,17.0,0.0,0.0
3733135,2008,7,1,2,1221.0,1225,1228.0,1239,XE,2866,N15973,67.0,74.0,52.0,-11.0,-4.0,CLE,MKE,328,5.0,10.0,0,,0,,,,,
145907,2008,1,24,4,1850.0,1900,1946.0,1955,YV,7409,N17175,116.0,115.0,93.0,-9.0,-10.0,IAD,HSV,595,6.0,17.0,0,,0,,,,,
1327887,2008,3,30,7,1204.0,1210,1356.0,1354,YV,7337,N75998,112.0,104.0,78.0,2.0,-6.0,IAD,CHS,441,9.0,25.0,0,,0,,,,,
845075,2008,2,27,3,1039.0,1041,1412.0,1414,UA,1530,N467UA,153.0,153.0,132.0,-2.0,-2.0,ORD,MCO,1005,4.0,17.0,0,,0,,,,,
3233423,2008,6,9,1,1015.0,1013,1605.0,1609,UA,584,N550UA,230.0,236.0,207.0,-4.0,2.0,DEN,BOS,1754,6.0,17.0,0,,0,,,,,
3791727,2008,7,7,1,536.0,540,714.0,725,OO,6706,N771SK,98.0,105.0,78.0,-11.0,-4.0,MEM,ORD,491,7.0,13.0,0,,0,,,,,
2987150,2008,5,11,7,857.0,900,1031.0,1017,DL,1214,N982DL,94.0,77.0,61.0,14.0,-3.0,CVG,DCA,411,4.0,29.0,0,,0,,,,,
4367503,2008,8,6,3,1702.0,1608,1920.0,1805,YV,2780,N924FJ,138.0,117.0,104.0,75.0,54.0,OAK,PHX,646,18.0,16.0,0,,0,75.0,0.0,0.0,0.0,0.0
5202604,2008,9,14,7,1046.0,1045,1156.0,1205,MQ,3875,N688AE,70.0,80.0,57.0,-9.0,1.0,DFW,CRP,354,3.0,10.0,0,,0,,,,,
1355259,2008,3,6,4,2103.0,2055,2250.0,2234,OO,5983,N903SW,107.0,99.0,86.0,16.0,8.0,ORD,SGF,438,3.0,18.0,0,,0,0.0,0.0,0.0,0.0,16.0
1779114,2008,3,8,6,1243.0,1022,1532.0,1244,DL,1211,N917DE,109.0,82.0,62.0,168.0,141.0,MSY,ATL,425,34.0,13.0,0,,0,0.0,0.0,27.0,0.0,141.0
180973,2008,1,8,2,1306.0,1310,1431.0,1434,OO,3938,N429SW,85.0,84.0,63.0,-3.0,-4.0,SLC,BTM,357,5.0,17.0,0,,0,,,,,
5053092,2008,9,15,1,1340.0,1343,1504.0,1511,UA,553,N468UA,84.0,88.0,60.0,-7.0,-3.0,ORD,MSP,334,11.0,13.0,0,,0,,,,,
2624338,2008,5,16,5,1003.0,1010,1134.0,1133,UA,599,N338UA,91.0,83.0,61.0,1.0,-7.0,ORD,MSP,334,5.0,25.0,0,,0,,,,,
879941,2008,2,26,2,1607.0,1616,10.0,2359,US,177,N675AW,303.0,283.0,241.0,11.0,-9.0,LAS,FLL,2174,7.0,55.0,0,,0,,,,,
47226,2008,1,17,4,1445.0,1445,1609.0,1610,WN,1058,N446WN,84.0,85.0,68.0,-1.0,0.0,OAK,LAS,407,7.0,9.0,0,,0,,,,,
3341219,2008,6,9,1,1600.0,1603,1655.0,1644,F9,406,N906FR,175.0,161.0,139.0,11.0,-3.0,IND,DEN,977,6.0,30.0,0,,0,,,,,
1965286,2008,4,19,6,1121.0,1130,1153.0,1207,OO,5818,N964SW,32.0,37.0,16.0,-14.0,-9.0,DEN,COS,72,6.0,10.0,0,,0,,,,,
4895242,2008,9,18,4,1750.0,1745,1910.0,1910,WN,912,N929WN,80.0,85.0,58.0,0.0,5.0,LAS,TUS,365,3.0,19.0,0,,0,,,,,
6692785,2008,12,13,6,743.0,751,1106.0,1127,UA,1612,N442UA,143.0,156.0,116.0,-21.0,-8.0,OAK,DEN,957,6.0,21.0,0,,0,,,,,
4166038,2008,7,4,5,2322.0,2340,803.0,820,B6,638,N639JB,341.0,340.0,315.0,-17.0,-18.0,SFO,BOS,2704,7.0,19.0,0,,0,,,,,
1620903,2008,3,9,7,1911.0,1915,2222.0,2207,NW,876,N984US,131.0,112.0,82.0,15.0,-4.0,MSP,SDF,603,13.0,36.0,0,,0,0.0,0.0,15.0,0.0,0.0
1627538,2008,3,23,7,1855.0,1900,2112.0,2119,NW,1272,N354NW,77.0,79.0,57.0,-7.0,-5.0,MSP,GRR,408,7.0,13.0,0,,0,,,,,
2011953,2008,4,17,4,1927.0,1927,2126.0,2134,UA,266,N455UA,59.0,67.0,37.0,-8.0,0.0,ORD,DAY,240,3.0,19.0,0,,0,,,,,
1088670,2008,2,17,7,1659.0,1700,2236.0,2235,AA,1716,N598AA,217.0,215.0,195.0,1.0,-1.0,LAX,STL,1593,4.0,18.0,0,,0,,,,,
977267,2008,2,4,1,628.0,630,857.0,830,MQ,3674,N523AE,149.0,120.0,98.0,27.0,-2.0,DSM,DFW,624,7.0,44.0,0,,0,0.0,0.0,27.0,0.0,0.0
6743744,2008,12,19,5,1304.0,1245,1955.0,1955,DL,152,N6709,231.0,250.0,203.0,0.0,19.0,LAX,ATL,1946,11.0,17.0,0,,0,,,,,
190229,2008,1,14,1,1805.0,1810,2052.0,2054,OO,3880,N423SW,107.0,104.0,94.0,-2.0,-5.0,OAK,SLC,588,4.0,9.0,0,,0,,,,,
991485,2008,2,12,2,610.0,610,603.0,610,MQ,4266,N639AE,53.0,60.0,34.0,-7.0,0.0,AZO,ORD,122,8.0,11.0,0,,0,,,,,
1691822,2008,3,31,1,1232.0,1235,1434.0,1425,AA,1481,N4XXAA,242.0,230.0,221.0,9.0,-3.0,DFW,OAK,1456,8.0,13.0,0,,0,,,,,
6429792,2008,11,26,3,1812.0,1800,2029.0,2055,CO,1155,N14341,137.0,175.0,105.0,-26.0,12.0,EWR,ATL,745,9.0,23.0,0,,0,,,,,
3614865,2008,7,6,7,1510.0,1455,1733.0,1730,WN,1675,N789SW,83.0,95.0,69.0,3.0,15.0,LAS,ABQ,487,3.0,11.0,0,,0,,,,,
3343716,2008,6,18,3,1057.0,1052,1429.0,1419,F9,654,N804FR,152.0,147.0,125.0,10.0,5.0,SFO,DEN,967,8.0,19.0,0,,0,,,,,
1170582,2008,2,11,1,2244.0,2250,2246.0,2259,DL,471,N939DL,62.0,69.0,44.0,-13.0,-6.0,ATL,PNS,272,4.0,14.0,0,,0,,,,,
995772,2008,2,8,5,1152.0,1120,1356.0,1335,MQ,4448,N801AE,64.0,75.0,51.0,21.0,32.0,ORD,LEX,323,4.0,9.0,0,,0,21.0,0.0,0.0,0.0,0.0
583795,2008,1,31,4,1648.0,1615,1751.0,1715,CO,1602,N14667,63.0,60.0,40.0,36.0,33.0,AUS,IAH,140,9.0,14.0,0,,0,8.0,0.0,3.0,0.0,25.0
3928240,2008,7,27,7,657.0,710,1018.0,1010,DL,1456,N984DL,201.0,180.0,152.0,8.0,-13.0,FLL,LGA,1076,25.0,24.0,0,,0,,,,,
1413665,2008,3,19,3,1847.0,1850,2207.0,2212,UA,514,N308UA,140.0,142.0,123.0,-5.0,-3.0,ORD,JAX,865,3.0,14.0,0,,0,,,,,
1557707,2008,3,8,6,620.0,628,710.0,708,HA,107,N477HA,50.0,40.0,34.0,2.0,-8.0,KOA,HNL,163,9.0,7.0,0,,0,,,,,
6722391,2008,12,25,4,1934.0,1940,2117.0,2122,US,1614,N757UW,103.0,102.0,81.0,-5.0,-6.0,CLT,ROC,573,7.0,15.0,0,,0,,,,,
4760028,2008,8,26,2,1950.0,1955,2317.0,2250,AA,2075,N516AA,267.0,235.0,182.0,27.0,-5.0,EWR,DFW,1372,7.0,78.0,0,,0,0.0,0.0,27.0,0.0,0.0
348095,2008,1,8,2,1843.0,1851,2013.0,2020,F9,577,N802FR,90.0,89.0,74.0,-7.0,-8.0,DEN,SLC,391,9.0,7.0,0,,0,,,,,
494883,2008,1,29,2,921.0,925,1202.0,1140,AA,893,N417AA,161.0,135.0,142.0,22.0,-4.0,STL,SAT,786,7.0,12.0,0,,0,0.0,0.0,22.0,0.0,0.0
1619160,2008,3,6,4,701.0,700,817.0,828,NW,775,N523US,196.0,208.0,164.0,-11.0,1.0,MSP,LAS,1300,6.0,26.0,0,,0,,,,,
3331195,2008,6,11,3,1909.0,1725,2054.0,1914,EV,4679,N931EV,105.0,109.0,80.0,100.0,104.0,FWA,ATL,508,15.0,10.0,0,,0,0.0,0.0,100.0,0.0,0.0
56665,2008,1,20,7,1017.0,1025,1112.0,1140,WN,3743,N621SW,55.0,75.0,39.0,-28.0,-8.0,PHL,PVD,238,2.0,14.0,0,,0,,,,,
1031540,2008,2,1,5,1628.0,1535,1723.0,1618,NW,1735,N751NW,115.0,103.0,70.0,65.0,53.0,DTW,BNA,457,10.0,35.0,0,,0,12.0,0.0,12.0,0.0,41.0
3248822,2008,6,5,4,1222.0,1208,1408.0,1411,UA,1429,N494UA,106.0,123.0,91.0,-3.0,14.0,DEN,MSO,679,4.0,11.0,0,,0,,,,,
4193279,2008,7,3,4,742.0,740,940.0,944,CO,1436,N37293,238.0,244.0,210.0,-4.0,2.0,IAH,SFO,1635,5.0,23.0,0,,0,,,,,
6071476,2008,11,30,7,1027.0,937,1130.0,1047,YV,7181,N445YV,63.0,70.0,47.0,43.0,50.0,ASE,DEN,125,6.0,10.0,0,,0,0.0,0.0,43.0,0.0,0.0
1224078,2008,3,17,1,2109.0,2115,2130.0,2120,WN,1567,N342SW,81.0,65.0,58.0,10.0,-6.0,SDF,MDW,271,10.0,13.0,0,,0,,,,,
6814630,2008,12,8,1,2008.0,2015,2044.0,2045,HA,376,N489HA,36.0,30.0,20.0,-1.0,-7.0,LIH,HNL,102,6.0,10.0,0,,0,,,,,
6088835,2008,11,11,2,2049.0,2055,2100.0,2105,OO,2569,N468CA,71.0,70.0,55.0,-5.0,-6.0,DAY,MKE,284,6.0,10.0,0,,0,,,,,
5176686,2008,9,26,5,1745.0,1744,1915.0,1917,FL,864,N289AT,90.0,93.0,60.0,-2.0,1.0,ATL,MCO,403,10.0,20.0,0,,0,,,,,
2259907,2008,4,14,1,821.0,826,945.0,958,9E,5929,85329E,144.0,152.0,122.0,-13.0,-5.0,MEM,DEN,872,9.0,13.0,0,,0,,,,,
2107663,2008,4,14,1,1719.0,1659,1717.0,1710,EV,4193,N824AS,58.0,71.0,42.0,7.0,20.0,ATL,VPS,264,4.0,12.0,0,,0,,,,,
6507326,2008,12,16,2,1954.0,1950,2023.0,2025,WN,1888,N444WN,89.0,95.0,77.0,-2.0,4.0,JAX,BNA,484,4.0,8.0,0,,0,,,,,
5257630,2008,9,15,1,1706.0,1710,1814.0,1815,9E,3786,88889E,68.0,65.0,35.0,-1.0,-4.0,CLE,DTW,95,9.0,24.0,0,,0,,,,,
6316990,2008,11,21,5,1725.0,1730,2025.0,2036,NW,253,N550NW,180.0,186.0,162.0,-11.0,-5.0,FLL,DTW,1127,7.0,11.0,0,,0,,,,,
4413490,2008,8,6,3,1338.0,1342,1338.0,1351,OO,5861,N967SW,60.0,69.0,39.0,-13.0,-4.0,LAN,ORD,179,9.0,12.0,0,,0,,,,,
3877789,2008,7,5,6,1847.0,1850,1951.0,2005,US,191,N155AW,64.0,75.0,46.0,-14.0,-3.0,PHX,SAN,304,3.0,15.0,0,,0,,,,,
4385630,2008,8,22,5,913.0,922,1053.0,1053,NW,1747,N8960E,100.0,91.0,66.0,0.0,-9.0,MDT,DTW,370,20.0,14.0,0,,0,,,,,
3698245,2008,7,31,4,1800.0,1800,1907.0,1925,WN,2538,N761RR,127.0,145.0,116.0,-18.0,0.0,BDL,MDW,777,5.0,6.0,0,,0,,,,,
3829402,2008,7,31,4,725.0,732,811.0,821,OO,5439,N232SW,46.0,49.0,29.0,-10.0,-7.0,LAX,SBA,89,2.0,15.0,0,,0,,,,,
1138243,2008,2,15,5,1140.0,1135,1506.0,1437,CO,539,N69348,206.0,182.0,155.0,29.0,5.0,MIA,EWR,1086,8.0,43.0,0,,0,0.0,0.0,29.0,0.0,0.0
2973844,2008,5,13,2,1441.0,1446,1605.0,1606,CO,1707,N12322,144.0,140.0,127.0,-1.0,-5.0,TPA,IAH,787,7.0,10.0,0,,0,,,,,
6868813,2008,12,21,7,1528.0,1527,1620.0,1636,NW,1231,N677MC,112.0,129.0,84.0,-16.0,1.0,DTW,MSP,528,16.0,12.0,0,,0,,,,,
2371106,2008,4,2,3,810.0,815,1154.0,1139,DL,1861,N948DL,224.0,204.0,163.0,15.0,-5.0,JFK,FLL,1069,5.0,56.0,0,,0,0.0,0.0,15.0,0.0,0.0
6810193,2008,12,18,4,1343.0,1340,2053.0,2040,HA,20,N581HA,310.0,300.0,292.0,13.0,3.0,HNL,SMF,2462,4.0,14.0,0,,0,,,,,
994388,2008,2,16,6,1656.0,1705,1918.0,1925,MQ,4381,N671AE,82.0,80.0,51.0,-7.0,-9.0,ORD,SDF,286,8.0,23.0,0,,0,,,,,
2078984,2008,4,29,2,818.0,825,1002.0,1015,US,1101,N936UW,284.0,290.0,261.0,-13.0,-7.0,CLT,LAS,1916,5.0,18.0,0,,0,,,,,
4331160,2008,8,15,5,759.0,800,904.0,915,XE,71,N14188,185.0,195.0,174.0,-11.0,-1.0,OMA,ONT,1286,4.0,7.0,0,,0,,,,,
4072761,2008,7,10,4,2229.0,2232,2310.0,2312,NW,1579,N767NC,41.0,40.0,17.0,-2.0,-3.0,DTW,LAN,74,6.0,18.0,0,,0,,,,,
